ipa_phoneme,english_translation,description,original_characters
te₂g-,"to touch; to grasp, take","Attempts have been made to connect this set with *tēkaną, *takaną||to touch; to grasp, take and täk-||to touch, feel (with the hand); to fetch, ceśäṃ|pos=3sg.pres.}, which eo ipso point to *deh₁g- (or *deg-/*dēg-, which would appear to violate the constraint that prohibits PIE roots of the shape *DeD-); the initial stop in Germanic and the vowel in Tocharian preclude any regular derivation from *teh₂g- or *tag-. Hamp has suggested a root *teg- as the source of all of these terms, with zero-grade *tₔg-, which he assumes in pre-Germanic assimilated to *dg-, as the source of forms with /a/ (< *[ə]). However, this leaves Greek /a/ (zero vowel expected) and the long vowel in 𐍄𐌴𐌺𐌰𐌽 unexplained. Mottausch's solution is to assume the reduplicated form *te-th₂g- gave rise to pre-Germanic *te-dg-, with regular deletion of an interconsonantal laryngeal in an unstressed syllable plus voicing assimilation, which was back-formed to *de-dg- to restore normal reduplication; the Tocharian may tentatively be grouped under the same formation. Per Kortlandt, the Germanic long *ē may thus have developed from dissimilation of this *dedg- to glottalic *deh₁g-.",teh₂g-
tek-,"to produce, beget, sire","This root is similar to *teḱ-, and their descendants have partial semantic overlap. Only թեքեմ conclusively points to the plain-velar *k, so it is often assumed that the other (Centum) descendants are from *teḱ-. Though it can be neither confirmed nor disproven, it is also possible that the two are different but related forms of one original root.",tek-
teḱ-,"to sire, beget",Reconstruction:Proto-Indo-European/teḱ-,teḱ-
tekʷ-,"to run, to flow","The reconstruction of the root-final stop faces some contention with most older sources preferring the labiovelar *kʷ, while other sources question or outright reject the labiovelar in favor of the plain velar *k. The evidence in favor of the labiovelar consists primarily of the Hittite form, while the evidence in favor of the plain velar includes the Tocharian form and the general absence of *-b- in the descendants of *tek(ʷ)eti in Celtic languages.",tekʷ-
tel₂-,"to bear, to undergo, to endure",etymological notes,telh₂-
*telk-,"to thrust, strike",etymological notes,telk-
telkʷ-,to talk,Reconstruction:Proto-Indo-European/telkʷ-,telkʷ-
temH-,dark,Etymological notes not provided,temH-
tem₁-,to cut,,temh₁-
*ten-,"to stretch, to extend",,ten-
tend-,"to stretch, to extend",etymological notes,tend-
teng-,"to think, to perceive",etymological notes,teng-
tengʰ-,"to pull (back), to be heavy, difficult",Extension of *ten- 'to stretch; to extend',tengʰ-
ten₂-,"to stretch, to extend","Possibly an extended form of *ten-, to stretch, extend.",tenh₂-
*tens-,to stretch,"Extended form of *ten- 'to stretch, extend'.",tens-
tep-,"to be warm, be hot",,tep-
ter-,"tender, weak; young creature",,ter-
tergʷ-,"to scare, fear, be fierce",,tergʷ-
ter₁-,"to rub, turn; to drill, pierce",,terh₁-
ter₂-,"to cross over, pass through, overcome",etymological notes,terh₂-
terkʷ-,"to turn, spin",Reconstruction:Proto-Indo-European/terkʷ-,terkʷ-
terp-,to satisfy,,terp-
ters-,dry,"Proto-Indo-European root meaning ""dry""",ters-
tetḱ-,"to create, produce; to cut, hew","Reanalyzed reduplication from *teḱ- ""to sire, beget"". Formerly represented as *tekþ-, *teḱþ- before the modern deciphering of thorn clusters.",tetḱ-
tewH-,"to look on [favorably], to protect, to observe",etymological notes,tewH-
tew₂-,"to swell; to become big or fat, to be numerous, crowd, to be strong",,tewh₂-
tewk-,"germ, seed, sprout, offspring","Compare *tewh₂-, to swell, crowd, be strong. Possibly analyzed as *tewh₂-k- or *tewH-k-, though the evidence is unclear.",tewk-
tews-,to be empty; to drain,Reconstruction:Proto-Indo-European/tews-,tews-
te₁-,"to get hot; to end, finish",etymological notes,teyh₁-
tḱe-,"to cultivate, to settle, to live","Reanalysed root of *tḱéyti, from *teḱ- 'to sire, beget' + *-éyti 'present suffix'.",tḱey-
tpelH-,"fortification, city",,tpelH-
treb-,"settlement, dwelling; to build, dwell",Reconstruction:Proto-Indo-European/treb-,treb-
*trem-,to tremble (in fear),Reconstruction:Proto-Indo-European/trem-,trem-
trenkʷ-,"to push, to press",no etymological notes provided,trenkʷ-
trep-,to turn,Reconstruction:Proto-Indo-European/trep-,trep-
*tres-,to tremble (with fear),Reconstruction:Proto-Indo-European/tres-,tres-
*treud-,"to push, to thrust",Reconstruction:Proto-Indo-European/treud-,trewd-
tum-,"to swell, to become big or strong, mound","Thought to be related to *tewh₂- 'to swell', but the laryngeal is problematic. A hypothetical **tu- is suggested as the underlying form.",tum-
twerH-,"to enclose, fence in; to grab, seize",,twerH-
twerḱ-,"to carve, cut off, trim",*twerḱ- 'to cut out',twerḱ-
tegʷ-,"to leave alone, give up; to retreat",,tyegʷ-
webʰ-,"to weave, braid",Beekes reconstructs *h₁webʰ- with the laryngeal on the basis of the initial vowel in Gothic ewepsēsomena 'which are to be woven'.,webʰ-
wed-,"to well, water","Possibly related to Proto-Uralic *wete, the source of Finnish vesi and Hungarian víz. The nature of the relationship is unclear and controversial; the word may have been borrowed from Proto-Indo-European into Proto-Uralic, or the reverse. A minority of linguists suggests a common origin from an even earlier proto-language, Indo-Uralic, but this is not generally accepted.",wed-
wedʰ-,"to bind, to secure; to pledge, to guarantee; to lead",,wedʰ-
weǵ-,"to be lively, awake; to be strong",,weǵ-
weǵʰ-,"to bring, to transport",,weǵʰ-
wegʷ-,"wet, moist",etymological notes,wegʷ-
we₁-,true,,weh₁-
we₁-,"to twist, wind, weave, plait; to wrap, enclose, cover",etymological notes,weh₁y-
we₂dʰ-,"to go, to proceed; to pass, to traverse",,weh₂dʰ-
we₂t-,"excited], [inspired], [possessed], [raging",,weh₂t-
weḱ-,"to wish, to want",,weḱ-
wekʷ-,"to speak, to sound out",imperfective root,wekʷ-
wel-,"to see, perceive",etymological notes,wel-
welg-,"wet, damp","A synonym *welk- with a different coda velar appears to exist, whence *wolkos 'rain, wet weather', valks 'wet; creek', Old valgr 'wet, moist' and welh 'wet; mild'.",welg-
welH-,"to roll, to undulate",etymological notes,welH-
wel₁-,"to choose, to want",,welh₁-
wel₃-,"to hit, to strike",,welh₃-
wem₁-,"to spew, to vomit",etymological notes,wemh₁-
wendʰ-,"to wind, to turn",,wendʰ-
wen₁-,to love,,wenh₁-
wer-,to burn,,wer-
werǵ-,to make,,werǵ-
wer₁-,"to speak, say",,werh₁-
werm-,"insect, larva, worm, ant or other small insect","Possibly from *wer- 'to turn' in the sense of either curled shape or writhing/wiggling behavior, plus *-mós; or a metathetic variant of *morwi-, *mer-w- 'ant'.",werm-
wers-,"to wipe, to drag (on the ground), sweep, thresh",etymological notes,wers-
wert-,"to turn, to rotate",etymological notes,wert-
wes-,"to dress, clothe",etymological notes,wes-
wet-,"year, old",,wet-
wet₂-,to say,Reconstruction:Proto-Indo-European/weth₂-,weth₂-
wed-,to see,"Proto-Indo-European root meaning ""to see""",weyd-
weg-,"to bend, wind, turn","Pokorny suggests an extension of *weh₁y-to twist, weave",weyg-
we₁-,"to chase, pursue; to suppress, persecute",etymological notes,weyh₁-
wek-,"to sift, separate",Extension of *wey- 'to separate',weyk-
weḱ-,"to enter in, to settle, settlement",,weyḱ-
*wep-,"to shake, tremble, agitate; to swing, sway; to turn, wind, rotate, wrap (around)",etymological notes,weyp-
wes-,"to raise, increase; to produce, procreate",etymological notes,weys-
wlekʷ-,"moist, to wet",etymological notes,wleykʷ-
wre₁-,"to find, encounter","A root *reh₁t- (yielding *obrěsti) might tentatively be a t-extension *(w)reh₁-t- of this root, according to Pokorny (and, following him, the LIV).",wreh₁-
wred-,"to scratch, carve",,wreyd-
wreḱ-,"to twist, to bend","Has been implicitly suggested to be related to *wreyt-, perhaps continuing an earlier root *wrey-.",wreyḱ-
wret-,to twist,"Has been implicitly suggested to be related to *wreyḱ-, perhaps continuing an earlier root *wrey-.",wreyt-
e₂-,"to go, to go in, to enter, to ride, to travel",,yeh₂-
ek-,to utter,,yek-
*iem-,"to hold, restrain; to take, seize",etymological notes,yem-
emH-,twin,Reconstruction:Proto-Indo-European/yemH-,yemH-
es-,"to foam, to boil",etymological notes,yes-
ewg-,"to join, to yoke, to tie together","Possibly an extension of *yew- (as in Sanskrit यु (yu, ""to unite""))",yewg-
